time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-12T11:58:09.930Z,27.4639,85.9412,10,4.2,mb,,173,0.915,1.08,us,us20002en6,2015-05-12T20:00:43.111Z,"21km NW of Ramechhap, Nepal",earthquake
2015-05-12T11:21:30.840Z,27.6982,86.1391,10,4.2,mb,,184,0.649,1.29,us,us20002en0,2015-05-12T19:24:14.708Z,"33km SSE of Kodari, Nepal",earthquake
2015-05-12T10:35:40.860Z,27.7772,86.0831,10,4.5,mb,,98,0.669,0.76,us,us20002ems,2015-05-12T12:44:26.085Z,"23km SE of Kodari, Nepal",earthquake
2015-05-12T10:15:06.810Z,27.8018,86.0926,10,4.3,mb,,152,0.655,1.25,us,us20002emm,2015-05-12T12:07:14.263Z,"21km SE of Kodari, Nepal",earthquake
2015-05-12T08:59:39.250Z,27.7858,86.1594,4.03,4.3,mb,,150,0.602,1.03,us,us20002emb,2015-05-16T15:49:17.259Z,"27km SE of Kodari, Nepal",earthquake
2015-05-12T08:52:30.290Z,28.0084,86.3358,10,4,mb,,142,0.423,0.49,us,us10002bfh,2015-05-26T11:08:49.916Z,"3km ENE of Camgyai, China",earthquake
2015-05-12T08:51:32.500Z,27.6469,86.2138,10,4.3,mb,,165,0.613,0.53,us,us10002bfg,2015-05-26T10:44:03.976Z,"37km NNE of Ramechhap, Nepal",earthquake
2015-05-12T08:39:07.940Z,27.7431,86.01,10,4,mb,,171,0.741,0.4,us,us10002bga,2015-05-26T08:57:48.355Z,"23km SSE of Kodari, Nepal",earthquake
2015-05-12T08:35:36.710Z,27.7042,86.2108,10,4.4,mb,,170,0.589,0.36,us,us10002bg9,2015-05-26T08:42:56.084Z,"33km SSW of Camgyai, China",earthquake
2015-05-12T08:34:24.130Z,28.1877,86.0143,16.34,4.3,mb,,162,0.74,0.36,us,us20002ekw,2015-05-26T07:23:16.539Z,"6km NE of Chongdui, China",earthquake
2015-05-12T08:24:23.780Z,27.7124,86.0447,10,4.8,mb,,80,0.722,0.37,us,us100029fv,2015-05-26T06:50:29.448Z,"28km SSE of Kodari, Nepal",earthquake
2015-05-12T08:21:10.760Z,27.7298,86.1316,15,5.2,mb,,42,0.643,0.7,us,us20002ekr,2015-05-25T13:10:20.319Z,"30km SE of Kodari, Nepal",earthquake
2015-05-12T08:13:54.600Z,27.7629,85.7574,15,5.1,mb,,49,0.953,0.64,us,us20002ekq,2015-05-25T12:17:54.276Z,"23km ENE of Nagarkot, Nepal",earthquake
2015-05-12T08:11:22.590Z,27.4654,85.7306,10,4.3,mb,,82,5.242,0.52,us,us10002bf8,2015-05-25T11:05:43.028Z,"25km ESE of Panaoti, Nepal",earthquake
2015-05-12T08:06:05.530Z,27.7221,86.0161,15,5,mb,,42,0.742,0.78,us,us20002ekk,2015-05-25T10:38:50.717Z,"26km SSE of Kodari, Nepal",earthquake
2015-05-12T08:05:25.540Z,27.9198,86.1387,10,4.2,mb,,99,0.596,0.29,us,us10002bfb,2015-05-25T09:04:36.341Z,"16km ESE of Zham, China",earthquake
2015-05-12T07:57:17.360Z,27.7351,86.5554,10,4.5,mb,,156,0.317,0.88,us,us10002bf9,2015-05-25T08:03:08.618Z,"17km WSW of Namche Bazar, Nepal",earthquake
2015-05-12T07:48:51.490Z,27.7224,86.2576,10,4.9,mb,,78,0.544,0.7,us,us10002bh3,2015-05-25T06:49:55.528Z,"31km S of Zuobude, China",earthquake
2015-05-12T07:47:46.350Z,27.5579,86.039,10,4.9,mb,,80,0.792,0.73,us,us10002bg4,2015-05-25T06:28:44.309Z,"26km N of Ramechhap, Nepal",earthquake
2015-05-12T07:43:17.590Z,27.6344,86.2643,13.93,4.9,mb,,70,0.582,1.04,us,us100029fi,2015-05-24T15:37:52.729Z,"38km NNE of Ramechhap, Nepal",earthquake
2015-05-12T07:36:53.800Z,27.6096,86.1718,15,6.3,mww,,10,0.665,0.88,us,us20002ek5,2015-05-24T15:25:21.312Z,"32km NNE of Ramechhap, Nepal",earthquake
2015-05-12T07:34:22.630Z,27.7458,86.2449,10,5.4,mb,,45,0.544,0.78,us,us20002ek3,2015-05-24T11:20:47.272Z,"28km S of Camgyai, China",earthquake
2015-05-12T07:33:09.760Z,27.7477,86.0099,10,4.1,mb,,98,0.74,0.58,us,us10002bf6,2015-05-24T10:57:07.764Z,"23km SSE of Kodari, Nepal",earthquake
2015-05-12T07:23:32.670Z,27.5589,86.2566,10,5,mb,,243,0.632,0.36,us,us10002bgy,2015-05-24T09:16:11.163Z,"30km NNE of Ramechhap, Nepal",earthquake
2015-05-12T07:22:15.290Z,27.5796,86.2338,10,4.8,mb,,48,0.636,0.62,us,us10002bg0,2015-05-24T09:00:42.086Z,"31km NNE of Ramechhap, Nepal",earthquake
2015-05-12T07:20:47.170Z,27.3073,86.2369,10,4.9,mb,,100,0.825,0.65,us,us10002bfy,2015-05-24T08:05:38.244Z,"14km E of Ramechhap, Nepal",earthquake
2015-05-12T07:17:20.550Z,27.7255,86.2153,12.09,5.5,mb,,66,0.576,0.88,us,us20002ek0,2015-05-24T07:11:20.593Z,"31km SSW of Zuobude, China",earthquake
2015-05-12T07:05:19.070Z,27.8189,86.0796,15,7.3,mww,,11,0.662,0.84,us,us20002ejl,2015-05-27T12:32:19.067Z,"19km SE of Kodari, Nepal",earthquake
2015-05-11T14:50:59.290Z,27.9103,85.9121,10,4.3,mb,,119,0.797,0.8,us,us20002ecq,2015-05-12T07:45:42.796Z,"5km SW of Kodari, Nepal",earthquake
2015-05-11T03:20:36.900Z,28.0071,85.827,10,4,mb,,170,0.872,1.09,us,us10002b51,2015-05-28T03:02:08.700Z,"13km WNW of Kodari, Nepal",earthquake
2015-05-10T09:38:32.750Z,27.4485,85.5858,10,4.3,mb,,149,1.199,0.6,us,us20002ea5,2015-05-22T09:11:14.495Z,"16km SSE of Panaoti, Nepal",earthquake
2015-05-10T00:49:53.310Z,27.6368,86.0832,10,4,mb,,187,0.72,1.38,us,us20002e9z,2015-05-10T23:51:38.814Z,"34km N of Ramechhap, Nepal",earthquake
2015-05-08T21:23:27.700Z,27.9634,85.0259,10,4,mb,,170,1.579,1,us,us20002e9g,2015-05-18T04:12:54.896Z,"39km NW of Kirtipur, Nepal",earthquake
2015-05-08T07:47:54.030Z,27.8248,85.9382,10,4.1,mb,,138,0.784,0.92,us,us20002dq9,2015-05-10T21:45:42.594Z,"14km S of Kodari, Nepal",earthquake
2015-05-08T00:32:33.960Z,27.6418,85.979,11.56,4.9,mb,,77,0.802,0.66,us,us20002dn5,2015-05-16T05:09:09.146Z,"34km S of Kodari, Nepal",earthquake
2015-05-07T16:30:47.160Z,27.8216,85.4647,10,3.4,mb,,192,1.2,1.1,us,us20002dkn,2015-05-14T23:22:14.878Z,"13km NNW of Nagarkot, Nepal",earthquake
2015-05-06T21:56:28.670Z,27.5965,85.1661,10,3.5,mb,,193,1.502,1.32,us,us20002ced,2015-05-22T22:53:52.674Z,"14km SW of Kirtipur, Nepal",earthquake
2015-05-06T15:13:20.010Z,27.6538,85.5885,10,3.8,mb,,170,1.125,1.25,us,us20002cdc,2015-05-19T23:49:04.884Z,"7km ENE of Banepa, Nepal",earthquake
2015-05-04T12:17:13.530Z,27.7895,86.0183,10,4.1,mb,,116,0.722,0.62,us,us20002b68,2015-05-17T13:38:57.647Z,"19km SSE of Kodari, Nepal",earthquake
2015-05-04T01:15:07.070Z,27.6326,85.9746,10,4.5,mb,,54,0.809,0.89,us,us20002b2y,2015-05-12T23:29:38.162Z,"35km S of Kodari, Nepal",earthquake
2015-05-03T23:14:15.460Z,27.7349,85.8791,10,4.2,mb,,184,0.855,0.71,us,us20002b2a,2015-05-10T22:37:39.671Z,"25km SSW of Kodari, Nepal",earthquake
2015-05-03T11:35:11.090Z,27.6999,84.9331,10,4.3,mb,,87,1.683,0.67,us,us20002az8,2015-05-17T06:20:26.053Z,"31km NNW of Hitura, Nepal",earthquake
2015-05-02T21:44:09.910Z,27.6326,85.932,10,4.3,mb,,77,0.844,0.77,us,us20002awm,2015-05-29T03:55:38.198Z,"35km S of Kodari, Nepal",earthquake
2015-05-02T05:35:46.360Z,28.2745,84.6212,10,5,mb,,91,1.96,0.85,us,us20002atq,2015-05-08T05:06:28.565Z,"25km E of Khudi, Nepal",earthquake
2015-05-02T00:10:48.810Z,27.3479,85.1509,10,4.1,mb,,93,5.757,0.95,us,us20002auq,2015-05-11T04:40:36.143Z,"14km SE of Hitura, Nepal",earthquake
2015-05-01T22:10:09.980Z,27.6072,85.5759,10,4,mb,,119,1.149,0.51,us,us20002arr,2015-05-10T22:01:45.937Z,"5km ESE of Banepa, Nepal",earthquake
2015-05-01T18:47:21.300Z,27.8121,84.74,46.13,4.1,mb,,169,1.839,0.87,us,us20002dhi,2015-05-28T19:08:18.607Z,"33km ENE of Bharatpur, Nepal",earthquake
2015-04-30T17:34:37.350Z,27.5248,85.3757,10,3.8,mb,,178,5.501,1.07,us,us20002ajz,2015-05-04T11:47:20.655Z,"14km WSW of Panaoti, Nepal",earthquake
